pca_size,loss,accuracy,execution_time
1,0.429151956309378000,0.858907282352448000,769.783080339432000000
2,0.483890912153447000,0.838566899299622000,757.450996160507000000
3,0.542765199513371000,0.827900648117065000,762.645225763321000000
4,0.478893003815078000,0.847422242164612000,756.674245357513000000
5,0.411193868714890000,0.867995798587799000,758.763286590576000000
6,0.432370271791055000,0.861848235130310000,750.527975320816000000
7,0.472377315377445000,0.843196809291840000,754.835059404373000000
8,0.482816180754806000,0.847691655158997000,763.053097486496000000
